"#{""t_start"": 1766644727.1364343"," ""env_id"": ""None""}",
r,l,t
4.233268,19,1362.132076
3.2097487,1,1364.05689
2.0737288,3,1366.908398
3.7225933,4,1366.90871
1.2528205,1,1366.908904
3.868125,32,1367.483458
2.145103,2,1375.476264
2.9626443,3,1380.706837
3.6017199,3,1388.32586
2.9002573,7,1388.326202
0.40706557,1,1388.53915
4.640093,20,1390.188007
3.6272116,15,1394.352469
3.2200658,2,1394.352749
2.7001789,1,1394.553772
4.0293026,10,1401.252244
2.9084535,4,1403.952328
3.4657385,19,1403.965832
3.1838028,16,1404.507978
3.4584901,2,1406.083152
1.5006449,1,1406.08354
3.1310382,2,1406.155191
2.374847,2,1406.849199
2.4456294,1,1411.700836
4.145334,4,1412.617686
3.931647,2,1416.106461
3.6805103,5,1416.106782
3.060701,14,1423.050689
3.303426,12,1423.959033
3.5927145,3,1425.619167
4.68482,15,1425.668275
3.4790757,4,1426.716069
3.1830518,31,1428.807145
3.8934546,6,1430.055203
0.886946,3,1430.524524
2.470971,2,1433.473641
3.4577625,48,1436.560453
3.7969496,9,1436.782765
2.995496,2,1437.809843
2.8017302,1,1438.430331
3.6074646,3,1439.190897
1.387726,1,1440.177365
3.6919942,8,1442.771972
2.8264618,1,1443.077239
3.9765863,7,1443.077494
2.5573041,7,1445.786985
3.7030966,4,1450.011006
2.440371,1,1450.01129
4.446639,3,1451.089579
4.0264616,4,1452.611458
3.3314562,10,1452.909157
4.0358644,3,1459.664351
3.3162823,2,1459.664639
2.3658085,38,1460.078071
1.8661464,1,1460.216776
2.8004775,6,1460.217041
2.6824002,1,1462.712326
2.0481892,2,1462.712632
3.4046183,17,1462.712808
3.095668,6,1467.238698
2.7926004,5,1469.900646
3.0630343,4,1469.901016
3.7661712,5,1470.274679
1.2365603,1,1470.275007
1.415097,1,1470.463169
4.1389503,12,1472.826051
3.6313744,8,1472.826409
1.5961902,3,1474.031131
2.3258226,2,1474.031452
2.9742656,57,1474.166921
3.6535726,30,1474.167225
0.33063912,1,1475.704046
1.8756057,3,1477.780126
3.4184043,17,1478.518373
3.4511018,4,1479.675405
2.6809955,1,1481.312955
2.8391664,2,1481.313268
3.4111714,11,1483.767174
3.7494388,4,1483.767597
3.2674015,3,1486.18795
3.9255164,8,1491.12614
3.9341626,5,1493.261558
3.314509,4,1495.051052
