#{"t_start": 1766685730.0247612, "env_id": "None"}
r,l,t
2.709497,8,15194.658791
3.5401664,2,15202.398161
4.1111236,3,15218.641632
3.388473,30,15271.072341
3.1960568,39,15293.990733
4.3385286,26,15314.42195
4.457231,8,15314.422294
3.1103983,32,15363.761145
3.1235297,6,15391.587665
3.2869406,18,15392.060967
2.0008261,2,15396.278945
3.516324,23,15396.279319
3.610476,9,15431.707322
4.5218086,11,15456.680576
3.5346255,32,15471.188704
3.382168,6,15471.37549
3.94422,6,15503.575056
3.6069376,12,15518.674628
4.213774,8,15556.9397
3.5374804,31,15556.939984
4.135093,4,15576.616042
3.454534,22,15576.616418
4.3556433,7,15591.146776
3.973176,18,15591.147195
4.1594095,7,15607.002054
3.8168445,11,15620.94781
2.5376236,5,15621.268798
3.6316361,3,15623.180981
4.197053,14,15634.039
4.1311903,3,15648.872175
3.85506,19,15656.65684
3.932415,11,15661.65132
3.8871481,11,15667.916628
4.0595784,4,15677.884422
4.0558796,8,15680.570242
3.921562,12,15695.41215
3.4465382,6,15720.505451
3.7438564,3,15727.057225
3.2327552,11,15727.057569
3.4704661,2,15728.740462
2.822537,2,15737.458061
3.7197962,33,15799.549916
4.156364,36,15851.821781
3.5254135,18,15859.480034
3.5784137,57,15859.480449
4.0345535,17,15928.830023
3.3907716,23,15946.508754
3.0817208,56,15950.233956
3.2407646,4,15957.09575
4.1742263,13,15980.743589
3.2010295,7,15984.918782
1.9435735,2,15987.819984
4.402272,6,16020.972212
3.8835895,12,16049.038243
3.3200746,13,16094.752018
4.025397,13,16115.518974
3.544574,39,16132.388411
4.426503,6,16147.462016
2.5395994,64,16151.394382
4.158979,5,16155.546116
2.9390678,2,16157.70089
3.173626,16,16157.701206
3.7615032,20,16227.964203
3.7413814,27,16234.614398
3.1888177,22,16234.614821
4.0111833,28,16236.436582
3.9795976,4,16262.198235
4.0850873,5,16280.114099
3.077,12,16280.114541
4.276958,19,16299.697245
2.6074998,3,16311.54015
3.8171577,9,16316.655275
1.4906005,1,16317.245835
3.7214644,37,16379.751743
4.7907887,15,16453.300018
3.7208009,2,16466.227711
3.0413048,37,16484.481029
3.4269779,47,16554.758681
3.1144648,20,16573.349017
4.7777715,24,16600.624799
1.4628271,1,16600.800024
4.392869,14,16601.217104
4.5592265,8,16628.164711
3.0391288,1,16635.890966
3.9296694,17,16635.891325
4.2947187,4,16656.134244
2.1920872,2,16672.087362
1.7729177,1,16675.881919
1.8957429,86,16675.882247
4.365879,6,16696.227937
3.5859485,29,16730.891261
3.7443814,11,16744.650807
4.178097,23,16775.09885
2.871867,36,16793.453334
4.887773,16,16796.363556
3.7757688,15,16807.964184
3.901807,6,16825.412855
3.8227859,19,16841.94786
4.6948075,10,16851.659494
4.056996,16,16859.779861
3.7882843,20,16868.665079
3.959281,5,16882.654417
4.618489,11,16914.588276
3.889356,11,16928.419985
3.4349444,2,16933.718074
1.7718837,1,16937.431939
4.401207,7,16938.842994
1.5993671,1,16938.843486
3.510757,2,16945.609539
3.768223,8,16970.731507
1.1842828,1,16973.58574
3.9916854,36,16978.458319
3.8643718,49,17017.43006
3.9366572,14,17039.900118
3.6659248,8,17074.848397
3.5488245,3,17095.944533
3.8460474,18,17109.302195
2.8494382,3,17109.302509
4.8868384,3,17125.677916
4.426607,34,17129.745579
4.121931,5,17131.282091
3.572655,46,17131.28248
3.9404352,3,17139.947207
2.9662848,6,17173.767337
4.37274,11,17224.603858
3.8504713,22,17233.26418
3.1876888,2,17237.595533
3.942184,24,17242.681194
3.1957796,25,17243.049814
3.2778535,2,17246.853159
3.890956,6,17258.385173
3.6209426,12,17302.361341
3.7463717,12,17310.11961
3.8091338,26,17315.571398
4.8129234,8,17326.97243
3.9355352,10,17363.643855
3.0878055,31,17370.756781
4.0727983,16,17378.411412
3.5535572,2,17378.411849
4.567525,4,17379.964781
3.8952026,15,17402.422371
3.9511027,5,17402.422715
4.2320347,8,17411.507885
3.5401437,6,17422.189717
4.354513,11,17430.320089
4.4570413,10,17445.423896
3.5230548,4,17445.424284
3.8654215,7,17445.424389
1.387726,1,17450.048849
4.1614313,7,17455.48616
3.9297955,5,17465.16896
4.1458735,8,17486.163066
4.027463,18,17507.018442
4.0033474,12,17507.018903
4.0391893,19,17511.808855
2.9066017,1,17511.80929
3.904364,3,17521.2192
3.441259,10,17559.341502
4.1739388,15,17576.018736
3.6192284,33,17619.915804
4.053501,14,17635.86494
3.076354,34,17650.820796
3.8541996,27,17682.94147
4.1026516,14,17684.953249
1.9987817,1,17684.953596
3.0526028,19,17756.613369
3.8485498,13,17756.613776
3.7265766,26,17769.210466
3.497412,16,17775.623451
4.443617,9,17806.499824
4.2981486,8,17815.350583
3.6243055,15,17845.84135
3.508812,9,17862.232442
4.247845,6,17880.919892
2.9901166,2,17889.435111
4.0232854,5,17913.120466
3.01768,25,17913.120758
3.9126785,20,17919.865931
4.445098,18,17938.627302
3.6926618,26,18006.507749
