#{"t_start": 1766670828.3623374, "env_id": "None"}
r,l,t
5.0661383,11,3310.33808
4.263351,8,3311.933427
5.00121,45,3314.053952
1.5702239,100,3316.728619
4.3924894,4,3317.579457
4.431184,3,3318.160387
4.9097686,62,3322.717685
4.933934,74,3327.780368
4.900644,54,3330.144521
3.5668087,100,3334.468969
1.5826538,100,3343.392398
4.9445357,68,3344.395239
4.8094354,18,3346.816234
3.7663267,100,3347.990477
4.676784,31,3354.451635
3.7195072,100,3356.728694
4.975025,60,3357.509431
4.9380116,75,3363.719041
4.4218907,7,3365.664624
4.4395237,89,3374.145027
4.8900933,78,3374.377758
4.5814166,85,3376.241537
4.155869,4,3377.159077
4.756134,57,3378.779352
4.935547,25,3385.842114
5.0704618,51,3386.271111
3.894355,4,3386.760442
4.9741244,56,3390.363987
4.9153676,40,3394.575803
3.6370432,100,3396.772062
2.8448377,3,3397.874465
2.6053858,36,3399.117432
5.2691393,8,3400.647289
5.0817738,13,3400.64759
4.3097835,7,3402.188638
4.9364634,75,3402.955511
1.9770898,1,3403.207718
3.3557196,3,3403.772632
2.6234899,75,3412.142524
4.903348,53,3415.344695
4.7387233,76,3416.837048
5.0116134,9,3417.068418
4.9409237,24,3421.374034
3.926363,4,3422.120817
3.6892128,100,3422.492712
4.9228683,10,3424.276906
5.084645,47,3426.988622
4.275902,17,3429.239096
4.112508,91,3431.76201
5.0240664,40,3432.347074
5.027712,19,3433.142751
2.3359892,1,3433.42623
5.109143,15,3434.647078
4.638719,2,3435.042562
2.5367942,18,3435.642069
5.0184507,32,3443.805435
4.617147,76,3444.276272
2.376302,3,3444.464868
5.064805,7,3445.891004
4.9683084,59,3448.236612
4.868437,70,3448.693697
4.814393,13,3451.088484
4.942132,31,3454.655176
5.04262,9,3457.151399
4.8563957,74,3461.416917
4.82537,9,3463.030507
1.5986485,100,3464.829005
4.909758,3,3465.41905
4.915489,18,3466.619901
4.8130293,76,3467.211245
4.8321943,12,3469.43254
